id,alpha,beta,p,sd_0,sd_r,tau,X^2,bic
22.0,0.11187919459480142,0.3191124366341575,0.4706348767862393,0.15591462846698279,0.023304168536137003,0.3079710455386459,123.5279659719292,2032.5461436600701
23.0,0.06145962713189653,0.5774505971195906,0.20767569126165628,0.23573226923497081,0.017760739935392438,0.43142375464608074,78.87246006179046,2105.3841062701385
24.0,0.1649255810646996,0.7282325852526518,0.4175238404010531,0.37407270063512355,0.0156520286342186,0.40492864837422793,16.139358789251975,1801.019608991306
25.0,0.1794255449426393,0.4818203604417165,0.28505520411401936,0.24805689157490507,0.021315554144650348,0.33829189844280855,12.116153428564903,1796.9964036306192
26.0,0.09720952685876497,0.505098692053916,0.2540700649926649,0.2556486023964353,0.013462003615028417,0.4355932565509992,42.93739329092111,1921.5887080696496
27.0,0.15892379730604161,0.3558058799282056,0.409867408388023,0.1200469988120223,0.013880864567819522,0.35391527650939636,17.140632699726403,1802.0208829017806
28.0,0.13623563187689292,0.5267071110312813,0.23628472434876327,0.1869934685032384,0.013892538523294645,0.34750904876136723,99.28631186018836,1979.8334847840308
29.0,0.1650733273853683,0.8277526768409293,0.22346550237182922,0.22860907926084595,0.017080448692340013,0.44600333215044735,20.881911269538893,1805.7621614715931
30.0,0.15005925478468796,0.5030193009423237,0.48411348870344173,0.2869139052402889,0.01874359797542155,0.32297438848739995,133.98644123210536,1982.570757271839
31.0,0.18953545840345157,0.5553808944667451,0.2036820169370503,0.2639952687264091,0.01519654135889172,0.41687177652609786,14.617713356698923,1799.497963558753
32.0,0.09430977582649941,0.4538131734583249,0.2649143287651229,0.3206090141516713,0.018083389601518375,0.348207525041579,40.22327052264443,1952.2851852850533
33.0,0.11943566564316675,0.33313821979429725,0.3147122855940832,0.34293641976921485,0.013485792830192645,0.37555980221790997,37.501716699299735,1886.086032739033
34.0,0.09460731601253558,0.3883832095537008,0.2014426749239888,0.2498082968647397,0.02038906148756022,0.37251479643589747,36.57871294984161,2137.882834793732
35.0,0.08155359770661136,0.537379628725283,0.20798657138669735,0.24030714055118896,0.019341193859398358,0.4115480097145135,28.48463525123647,1975.61090178243
36.0,0.15812152715188313,0.4387786714617464,0.5491662455099953,0.10162512664011447,0.020681770156720073,0.36287471814072986,64.04592500611564,1880.8890320922787
37.0,0.11983410271813502,0.42774922428628165,0.5362375542388624,0.15129316714888308,0.021573444007397254,0.3399950043235468,7.619013835804637,1792.4992640378587
38.0,0.10192729722051692,0.30256587872598917,0.40415279468580506,0.16342185396313513,0.01773337958844475,0.3241384717654005,51.65853576967694,1949.9668684040237
39.0,0.14143096185375942,0.7514686313482188,0.27893469578373953,0.25166248673375735,0.01254061729948367,0.3896999208783892,186.01787722387604,2052.1368858591095
40.0,0.11320404034720222,0.4877647264980265,0.274415392278,0.18523439157719612,0.019972045906381037,0.38481692047203336,28.51747821553969,1894.636486850773
41.0,0.09716018128244441,0.43548922537421414,0.2830619755999918,0.251920431872245,0.01292035710721482,0.36057668858180225,30.192966945893662,1878.9989309161651
42.0,0.1096085280095285,0.25072065877745986,0.4096311348266531,0.12310092670434725,0.023966096619212392,0.2985195028010157,23.4720826925294,1904.019255616372
43.0,0.1700827233366206,0.4541881244008571,0.5194627190728749,0.18088945585520833,0.01911828655804991,0.3068852892836028,157.52042842751112,2023.6394370627447
44.0,0.14442209529865382,0.48755255983155216,0.3704681890324513,0.16830562524413417,0.014022384520915821,0.3558049414326204,20.28671604439764,1805.1669662464517
45.0,0.10557137270347829,0.36630773071030015,0.2345736271137876,0.2110367557297459,0.015591679316654594,0.28476026652018116,35.67368554540766,1997.0115018568877
46.0,0.16154267421010668,0.4606031157302423,0.4801714181076676,0.3136780643935324,0.016144541167546024,0.31508950346985753,56.00592676432223,1872.8490338504848
47.0,0.1771280512107427,0.5297625902769346,0.3126546380996628,0.20454149392608123,0.019495118154930064,0.3302004201691525,165.5065298284336,2032.0736535092092
48.0,0.18888395461841073,0.4503962229380888,0.34927143169260016,0.16121012504287613,0.02395423053788133,0.25942717982426516,72.82191703116702,1889.6650241173297
49.0,0.1269596102677622,0.26983154941532167,0.5110277893183854,0.285770011847291,0.012684575137395075,0.29997700197661986,133.47958353924267,2028.5177119843174
50.0,0.06793823169652427,0.4756685485537232,0.2788952393165229,0.1659364767758995,0.020414882244967677,0.32476112421341297,67.12430719098906,2014.482074259402
51.0,0.14373918212841155,0.6324377243364687,0.3278683908233072,0.3172245241832734,0.015172533140935807,0.409578692838767,8.12193647098847,1793.0021866730426
52.0,0.10005022122545633,0.3206927032385047,0.4073154942294504,0.3376039779120168,0.011840124613541742,0.3357995915482245,7.07682518718446,1873.6439488679603
53.0,0.1426693551322361,0.7078787480157382,0.3263232126433307,0.1597074702305057,0.018140608870285825,0.42197027935951675,68.45434849463255,1885.2974555807955
54.0,0.11769853387427534,0.2733250442363796,0.5050609852182267,0.3158318230893553,0.025243371903394256,0.4110399589843952,28.818110593085436,1863.4223773897525
