id,alphaSS,betaSS,deltaSS,alphaRS,betaRS,delta_target,delta_flanker,deltaRS,tau,X^2,bic
38.0,0.17782693023767232,0.6963305741018294,0.4320731912506334,0.31817247103339735,0.9989711773713674,0.14473696475772135,0.05596440634623508,0.4026756124420697,0.34148834517023363,202.15442611667055,2117.0271415046036
39.0,0.32113338748917514,0.8368206239283424,0.4064424677123968,0.20812558523757183,0.9841766075144684,0.13798355163934373,0.08868362811838387,0.9951599189499659,0.3499596101820446,173.1379137720291,2055.8213051608495
40.0,0.23456055372164147,0.3720909054987621,0.4964492241055954,0.2602478660666944,0.9760197880368431,0.14939894890783822,0.051230518799082775,0.9710511452219889,0.26499547177381766,165.34481923167536,2048.0282106204954
41.0,0.2149623120589911,0.48175923833084694,0.4816205861667223,0.1734123540829437,0.9991514859960509,0.1486903298485494,0.05117262525165564,0.6403122884730064,0.28635154665776047,95.77254172207492,1961.142888445933
42.0,0.21263510249187537,0.535376140900771,0.5328794096785288,0.18690581948582374,0.9995502858331687,0.14765107246190665,0.05036667851468425,0.5519850192341912,0.29174510132938336,180.77106463119293,2077.882620308622
43.0,0.3647982206644339,0.7524856706708558,0.5422655677181645,0.1832066861536677,0.9999053022745045,0.12680837895092786,0.09020336996108796,0.809166773274347,0.29458322551882704,166.3124945537457,2048.9958859425665
44.0,0.24349096269537707,0.13166506712878956,0.5383233396128971,0.2766639583324176,0.9883410906380692,0.144251048040958,0.050232864094172686,1.1578839964541943,0.1563991619547486,22.32524734806186,1823.7698803037028
45.0,0.15727255416876162,0.6712879987640892,0.32435479510433685,0.24380383650362486,0.996618109643823,0.13099993680733263,0.07556439837845608,0.8145759349980466,0.3371872718576648,303.8235480374964,2281.7257471025623
46.0,0.17002390154112135,0.3268234096214895,0.54214675440833,0.23574508885499468,0.9934071557829205,0.13849539106771458,0.06598775956970152,0.8482202690083884,0.2750599623141564,72.08099374492791,1905.4884835846776
47.0,0.20120306720273948,0.0312948735727514,0.5345118073151335,0.14177217413736812,0.44771868190101466,0.1470992974292355,0.05093657025564992,1.0804341595636506,0.16194780718802157,117.67706152060116,2000.8085679549636
48.0,0.1888151883172529,0.16849868946940738,0.5102541745025797,0.17230878061073643,0.912825180518404,0.13676068416252332,0.09539653243469942,0.916980845631238,0.2098190047137355,42.17499586518272,1875.5824857049324
49.0,0.15655655031335586,0.6987441124461673,0.40704586318055186,0.2833339071184139,0.9855910686934047,0.1482159400149414,0.05099357048532402,0.7770603099661111,0.3499134768863693,307.1072414918392,2218.7097526904995
50.0,0.26118394313134374,0.7498784862542578,0.5467404666912727,0.23066252217139663,0.9998406535923358,0.14958330462203887,0.050657317616328745,0.6102701846561427,0.2752551774833308,315.9324839034807,2279.85463372548
51.0,0.24969702471800148,0.7167854446622933,0.41934961665730675,0.22383391461764682,0.9548749346055275,0.1448453132798457,0.05256377965578872,0.9020756400647634,0.3823752233738659,9.734132820339116,1811.1787657759799
