index,PPT,Condition,Correct,RT
565,1,1,1,0.323847185
566,1,2,1,0.318297914
567,1,2,0,0.320025575
568,1,1,1,0.427187671
569,1,2,1,0.454126348
571,1,1,1,0.542632367
574,1,2,1,0.385667821
575,1,2,1,0.445920556
578,1,1,0,0.244415739
579,1,2,1,0.449719976
581,1,1,1,0.283602684
582,1,1,0,0.253256134
583,1,2,1,0.58655442
584,1,1,1,0.36335638
585,1,1,1,0.375823464
586,1,2,1,0.314961047
587,1,1,1,0.309199787
589,1,1,0,0.290409894
591,1,2,1,0.477688901
592,1,1,1,0.307835682
597,1,2,1,0.383043046
599,1,2,0,0.318646792
600,1,2,0,0.392471276
602,1,2,1,0.668519837
603,1,2,1,0.47905164
604,1,1,1,0.364866932
605,1,2,1,0.336376397
606,1,2,1,0.33783745
608,1,1,1,0.289854147
609,1,2,1,0.377939601
611,1,1,1,0.284362909
612,1,1,1,0.406309974
613,1,1,0,0.242456631
614,1,2,1,0.309728906
616,1,2,1,0.304562309
617,1,1,1,0.467657475
618,1,2,0,0.279885533
619,1,1,1,0.168878273
620,1,1,1,0.232836894
621,1,1,0,0.210962404
623,1,2,1,0.434894043
624,1,1,1,0.38972395
625,1,2,1,0.282676212
629,1,1,1,0.465490473
631,1,2,1,0.289306935
632,1,1,1,0.418252376
634,1,2,1,0.498777904
636,1,2,0,0.309395732
638,1,1,1,0.328765608
639,1,2,1,0.469404935
640,1,2,1,0.393063548
641,1,2,1,0.332934388
642,1,2,1,0.319891076
643,1,2,1,0.457309259
644,1,1,1,0.477907035
645,1,1,1,0.284625421
646,1,1,0,0.277814114
647,1,2,1,0.496324496
648,1,1,1,0.478734851
650,1,1,0,0.367111082
651,1,1,1,0.354588355
652,1,2,0,0.316937565
653,1,1,1,0.384173655
654,1,1,1,0.372922864
655,1,2,1,0.335370729
656,1,1,1,0.355883162
658,1,1,0,0.297242365
660,1,2,0,0.334997614
661,1,2,1,0.487881111
662,1,1,0,0.428781175
663,1,1,1,0.530816613
664,1,1,1,0.37053807
665,1,2,1,0.277553651
666,1,1,1,0.41374018
667,1,1,1,0.306854933
668,1,2,1,0.292317797
669,1,2,1,0.294803635
670,1,2,1,0.330239292
674,1,2,1,0.635039534
677,1,2,1,0.472261498
679,1,2,1,0.472655095
680,1,2,0,0.406744535
681,1,2,1,0.456717328
683,1,1,1,0.446257485
685,1,2,0,0.234153207
686,1,1,0,0.258912594
687,1,2,1,0.570884285
691,1,2,0,0.324967212
693,1,1,1,0.401879706
694,1,2,1,0.245344942
696,1,1,1,0.330377546
697,1,2,1,0.673707941
698,1,1,1,0.323926382
699,1,2,0,0.279106532
700,1,1,1,0.398800571
703,1,1,1,0.469148568
704,1,1,1,0.450080802
706,1,1,1,0.291538113
707,1,1,0,0.196714747
710,1,1,1,0.399604833
711,1,1,1,0.307206542
713,1,2,1,0.239643421
714,1,2,1,0.392830394
716,1,2,1,0.514199524
720,1,1,1,0.798224485
721,1,1,1,0.276781557
724,1,1,1,0.402483577
726,1,2,1,0.51415305
727,1,1,1,0.416852711
728,1,2,0,0.339279594
730,1,2,0,0.36816704
731,1,2,1,0.267145126
732,1,1,1,0.62711118
734,1,1,1,0.448512735
735,1,1,1,0.502372496
741,1,1,1,0.381019484
743,1,1,1,0.4277877
745,1,2,0,0.444334752
747,1,1,1,0.335453218
748,1,2,0,0.251120023
750,1,1,0,0.080910656
751,1,1,0,0.271211823
752,1,1,0,0.276603022
753,1,1,1,0.445780097
755,1,2,0,0.366269726
756,1,1,1,0.392928732
758,1,2,1,0.295394217
759,1,2,1,0.159298956
762,1,2,1,0.652216628
764,1,2,1,0.270339974
766,1,1,0,0.408874638
767,1,2,0,0.414154893
768,1,2,0,0.338578086
769,1,1,1,0.523378134
770,1,1,1,0.491695922
773,1,2,1,0.285005073
774,1,1,0,0.244325126
775,1,2,1,0.639399345
776,1,2,1,0.431750964
777,1,1,1,0.323544311
779,1,2,0,0.283494185
781,1,2,1,0.535533849
782,1,1,1,0.406240996
783,1,1,1,0.309300458
784,1,2,1,0.364171688
785,1,1,1,0.430427145
786,1,2,0,0.275022496
788,1,2,1,0.383310394
790,1,2,1,0.236234743
791,1,1,1,0.381445168
792,1,1,1,0.467067021
793,1,1,0,0.201477161
795,1,2,0,0.129293535
796,1,1,0,0.197542913
797,1,2,0,0.06068743
799,1,1,0,0.178491256
800,1,2,0,0.218926102
801,1,1,1,0.050657745
803,1,2,1,0.257362931
805,1,2,1,0.271979556
806,1,1,1,0.346896502
807,1,1,0,0.140318986
808,1,2,1,0.698555747
809,1,2,1,0.517419584
810,1,2,1,0.276280772
811,1,1,0,0.198322253
812,1,2,1,0.095257943
813,1,1,1,0.498039533
815,1,1,0,0.209710917
816,1,1,1,0.143590642
819,1,1,0,0.271101221
820,1,2,0,0.441550568
821,1,2,0,0.26057553
822,1,2,0,0.070836935
825,1,1,1,0.411620248
826,1,2,0,0.25598859
827,1,1,1,0.319552715
828,1,2,1,0.522360862
829,1,1,0,0.282273118
830,1,1,1,0.24172289
832,1,2,1,0.501860105
833,1,1,1,0.315260715
834,1,1,0,0.340344999
836,1,2,0,0.275862599
837,1,2,0,0.221167855
839,1,2,1,0.169242617
840,1,2,1,0.557983808
841,1,1,1,0.357521189
842,1,1,1,0.209086217
843,1,1,0,0.168780066
846,1,2,1,0.465128402
847,1,2,1,0.231518425
848,1,1,1,0.279822449
850,1,2,1,0.484108713
851,1,2,1,0.233398671
854,1,1,1,0.119960238
855,1,1,1,0.340664859
857,1,2,1,0.330644049
860,1,2,1,0.129647874
863,1,2,1,0.524365024
864,1,1,1,0.49037142
865,1,1,1,0.317193873
866,1,2,0,0.103521058
867,1,2,1,0.150386563
869,1,1,1,0.345066095
870,1,2,1,0.090952631
872,1,2,1,0.427584246
