PPT,Condition,Correct,RT
101,2,1,0.34201
101,1,1,0.48316
101,0,1,0.41256
101,1,0,0.3539
101,0,1,0.37717
101,0,1,0.9293
101,2,1,0.38907
101,0,1,0.47145
101,2,0,0.56525
101,0,1,0.42445
101,0,1,0.48314
101,2,0,0.4362
101,0,0,0.58905
101,2,1,0.91837
101,0,1,0.4714
101,0,1,0.95356
101,1,1,0.47141
101,1,1,1.0125
101,1,1,0.58896
101,1,0,0.44783
101,2,1,0.33023
101,2,1,0.65934
101,2,0,2.7883
101,1,1,0.51849
101,2,1,0.43607
101,1,1,0.36532
101,1,1,0.41192
101,0,1,0.38904
101,0,1,0.36553
101,1,1,0.38898
101,0,1,0.37721
101,0,1,0.37744
101,0,1,0.35384
101,1,1,0.53024
101,1,1,0.48294
101,1,1,0.5186
101,1,1,0.68314
102,0,1,0.69487
102,2,1,0.50657
102,1,1,0.40097
102,0,1,0.36559
102,1,1,0.35398
102,1,1,0.30675
102,0,1,0.37673
102,2,0,0.42424
102,1,1,0.31856
102,1,1,0.30684
102,0,1,0.34194
102,0,1,0.28314
102,0,1,0.36542
102,0,0,0.24785
102,0,1,0.36551
102,0,1,0.28312
102,2,1,0.37735
102,0,1,0.31863
102,0,1,0.37671
102,1,1,0.25945
102,1,1,0.29495
102,1,1,0.29498
102,2,1,0.2479
102,2,1,0.34211
102,0,0,0.28332
102,1,1,0.36542
102,1,1,0.28335
102,1,1,0.25969
102,0,0,0.28274
102,2,1,0.50665
102,2,1,0.38901
102,0,1,0.28317
102,0,1,0.3538
102,1,1,0.30676
102,2,1,0.41254
102,1,1,0.36551
102,1,1,0.28322
102,0,1,0.28326
102,1,1,0.36566
102,1,1,0.29488
102,2,1,0.43593
102,2,0,0.31833
102,2,1,0.43596
102,0,1,0.35382
102,0,1,0.31854
102,2,1,0.36549
102,1,1,0.2949
102,1,0,0.28323
102,2,0,0.31786
102,2,0,0.34201
102,0,1,0.43542
102,2,1,0.47124
102,2,1,0.42418
102,0,1,0.29487
102,2,1,0.37748
102,0,1,0.38903
102,1,1,0.30689
102,1,1,0.30619
102,0,1,0.36551
102,0,1,0.28325
102,1,1,0.34116
102,0,1,0.28313
102,2,1,0.37734
102,0,1,0.31853
102,1,1,0.33021
102,2,0,0.28278
102,1,1,0.35388
102,2,1,0.30675
102,1,1,0.28336
102,2,1,0.36541
102,1,1,0.30657
102,1,1,0.36541
102,2,1,0.44783
102,1,1,0.37748
102,1,1,0.342
102,1,1,0.35388
102,0,1,0.36545
102,2,0,0.3889
102,1,1,0.31847
102,2,1,0.33026
102,2,1,0.36543
102,2,1,0.41258
102,0,1,0.342
102,1,1,0.342
102,0,1,0.3774
102,2,1,0.37673
102,2,1,0.30657
102,0,0,0.30678
102,2,1,0.48319
102,0,1,0.25968
102,0,1,0.30671
102,2,0,0.28319
102,0,1,0.34194
102,1,1,0.31861
102,1,1,0.37729
102,0,1,0.33003
102,2,1,0.45896
102,2,1,0.41252
102,0,1,0.38843
102,0,1,0.30686
102,1,1,0.28336
102,2,1,0.37734
102,0,1,0.34199
102,0,1,0.25914
102,2,0,0.40069
102,0,1,0.40075
102,2,0,0.28307
102,1,1,0.31778
102,2,0,0.3067
102,2,1,0.40086
102,2,1,0.45962
102,0,1,0.29485
102,2,1,0.29501
102,2,1,0.35363
102,2,0,0.2597
102,0,1,0.33026
102,0,1,0.31837
102,1,1,0.34132
102,1,1,0.41263
102,1,1,0.30655
102,0,1,0.34191
102,2,1,0.38894
102,1,1,0.38913
102,1,1,0.27149
102,0,1,0.36558
102,0,1,0.36546
102,1,1,0.25978
102,0,1,0.3301
102,0,1,0.38905
102,1,1,0.33027
102,2,0,0.29504
102,2,1,0.35377
102,1,1,0.35382
102,2,1,0.25969
102,2,0,0.35385
102,1,1,0.28326
102,1,1,0.28323
102,0,1,0.38901
102,0,0,0.30684
102,1,1,0.38894
102,1,1,0.2599
102,2,0,0.24775
102,1,1,0.29493
102,2,1,0.43623
102,1,1,0.67135
102,1,1,0.37741
102,1,1,0.33033
102,1,1,0.3413
102,1,1,0.30658
102,1,1,0.29469
102,2,1,0.3654
102,2,0,0.30667
102,2,1,0.25987
102,0,1,0.31857
102,1,1,0.342
102,1,0,0.29493
102,1,1,0.35388
102,2,1,0.34172
102,2,1,0.3888
102,2,1,0.44778
102,1,1,0.29496
102,2,0,0.30678
102,0,1,0.37723
102,2,1,0.40078
102,0,1,0.43623
102,2,1,0.42422
102,0,1,0.38907
102,1,1,0.4124
102,0,1,0.48308
102,1,1,0.4245
102,0,1,0.37724
102,1,1,0.40095
102,2,1,0.31841
102,2,1,0.43541
102,0,1,0.29495
102,2,1,0.37708
102,0,1,0.36537
102,2,1,0.56568
102,0,1,0.37734
102,0,1,0.42439
102,2,1,0.36541
102,2,1,0.35393
102,2,0,0.38912
102,2,1,0.3774
102,0,1,0.4008
102,0,1,0.33032
102,0,1,0.33017
102,2,0,0.38906
102,2,1,0.43598
102,1,1,0.45956
102,0,1,0.33024
102,2,1,0.40084
102,1,1,0.34123
102,2,1,0.495
102,1,1,0.33024
102,2,1,0.3884
102,2,1,0.38892
102,2,1,0.41256
102,2,1,0.3648
102,0,1,0.31849
102,1,1,0.36544
102,1,1,0.33014
102,2,0,0.35378
102,1,1,0.42376
102,0,1,0.40087
102,0,1,0.41257
102,0,1,0.42435
102,1,1,0.58914
102,1,1,0.37733
102,0,1,0.38889
102,0,1,0.37675
102,2,1,0.5066
102,1,1,0.36539
102,2,1,0.38904
102,0,1,0.36552
102,2,1,0.38905
102,0,1,0.28325
102,0,0,0.63633
102,0,1,0.40003
102,1,1,0.58907
102,1,1,0.36555
