index,PPT,Condition,Correct,RT
554,1,1,1,0.399922848
556,1,1,1,0.37652722
559,1,1,1,0.38831386
562,1,1,1,0.50592351
563,1,2,0,0.32950139
565,1,1,1,0.35301435
566,1,2,1,0.529447138
567,1,2,1,0.423580706
568,1,1,1,0.388311565
570,1,1,1,0.423427701
572,1,1,1,0.341255993
573,1,1,1,0.399911433
574,1,2,0,0.341246486
577,1,1,1,0.317742974
578,1,2,1,0.352877736
580,1,1,1,0.588238716
582,1,1,1,0.376541942
584,1,2,1,0.435332417
589,1,1,1,0.376384616
590,1,2,1,0.41165033
591,1,2,0,0.388132036
592,1,1,1,0.54106015
593,1,1,1,0.482252628
594,1,1,1,0.411810875
597,1,2,1,0.364642024
598,1,1,1,0.329470962
599,1,1,1,0.317573011
600,1,2,1,0.423564196
601,1,2,1,0.388312638
602,1,2,1,0.400058866
603,1,2,1,0.376402766
605,1,1,1,0.505896389
606,1,2,1,0.423587888
607,1,2,1,0.364649177
609,1,1,1,0.353004664
610,1,2,0,0.35285458
611,1,1,1,0.493960172
612,1,2,1,0.341100693
614,1,1,0,0.388296753
618,1,1,1,0.329335988
619,1,2,1,0.411664903
620,1,1,1,0.305958122
621,1,2,1,0.423595101
622,1,2,1,0.576471508
624,1,2,1,0.364783645
625,1,1,1,0.57633692
626,1,1,1,0.411683977
627,1,1,1,0.529298961
629,1,2,1,0.635300457
630,1,1,1,0.600000739
631,1,1,1,0.470650315
632,1,1,1,0.294204473
633,1,2,1,0.4471021
634,1,2,0,0.388161033
635,1,1,1,0.435194224
636,1,2,1,0.364747971
637,1,2,1,0.270676285
638,1,1,1,0.62353009
639,1,1,1,0.41183269
641,1,2,0,0.45871219
642,1,1,1,0.623372018
644,1,2,1,0.458833009
646,1,2,1,0.32949397
647,1,2,1,0.364781827
649,1,1,1,0.423456073
650,1,2,1,0.482392132
653,1,2,1,0.411689788
655,1,2,1,0.388296723
656,1,1,0,0.494176149
657,1,2,1,0.588099539
658,1,1,1,0.494151503
660,1,2,0,0.329502434
661,1,2,1,0.529427111
662,1,2,1,0.34113273
664,1,2,1,0.411827534
665,1,1,1,0.470494151
667,1,2,1,0.400054097
668,1,1,1,0.341114819
670,1,2,1,0.352849871
671,1,2,0,0.458728909
672,1,2,1,0.45872888
673,1,1,1,0.458866805
674,1,2,1,0.47064057
675,1,2,1,0.352871507
678,1,1,1,0.388171315
679,1,1,1,0.446929783
681,1,1,1,0.400077879
682,1,1,1,0.376396418
685,1,2,1,0.411799848
686,1,1,1,0.400056303
687,1,1,1,0.482376963
688,1,1,1,0.305823773
689,1,1,1,0.353000134
690,1,2,1,0.564564049
692,1,1,1,0.282436818
693,1,2,1,0.388305336
696,1,2,1,0.423446
698,1,1,1,0.353015125
699,1,1,1,0.329481006
702,1,1,1,0.43536368
706,1,1,1,0.353033215
707,1,2,1,0.435347408
708,1,2,1,0.400072336
710,1,1,1,0.282312244
711,1,1,1,0.329496294
712,1,1,1,0.435357004
714,1,2,1,0.423450828
717,1,1,1,0.423616707
719,1,2,1,0.36477679
721,1,1,1,0.329474986
722,1,2,1,0.411794513
723,1,2,1,0.600019574
724,1,1,1,0.317747712
725,1,2,1,0.3999089
726,1,1,1,0.282303631
727,1,2,1,0.28242296
728,1,1,1,0.56458956
729,1,2,1,0.564684808
732,1,1,1,0.317734122
734,1,2,1,0.423452377
735,1,2,0,0.329509944
736,1,1,1,0.376526326
737,1,2,1,0.411669552
741,1,2,1,0.458875924
742,1,1,1,0.588241875
744,1,2,1,0.376537263
746,1,2,1,0.470464051
747,1,1,0,0.400026441
749,1,2,1,0.670593262
750,1,2,1,0.423407733
751,1,2,1,0.505890965
754,1,2,1,0.329503357
756,1,1,1,0.376556963
757,1,1,1,0.552966058
759,1,1,1,0.423577189
761,1,1,1,0.400039941
762,1,1,1,0.482401729
763,1,1,1,0.341242045
765,1,1,1,0.317596287
766,1,2,1,0.623518109
769,1,1,1,0.353009164
772,1,2,1,0.517520726
775,1,1,1,0.388306737
778,1,2,1,0.494145066
779,1,1,1,0.600007772
780,1,2,1,0.658665776
782,1,1,1,0.552936137
783,1,2,1,0.447098643
785,1,1,1,0.364640653
786,1,1,1,0.353026211
787,1,2,1,0.388153195
789,1,1,1,0.329481781
790,1,1,1,0.376399547
791,1,2,1,0.411664218
793,1,1,1,0.517687738
794,1,1,1,0.305826247
795,1,2,1,0.458832204
796,1,2,1,0.353032112
799,1,2,1,0.541166425
800,1,1,1,0.494013369
801,1,2,1,0.529267132
802,1,1,1,0.411777735
803,1,1,1,0.776401579
805,1,2,1,0.470631808
806,1,1,1,0.470648259
808,1,1,1,0.411812633
809,1,2,1,0.529435694
811,1,1,1,0.411661655
814,1,2,1,0.411812544
815,1,1,1,0.364780486
817,1,2,1,0.423579693
818,1,2,1,0.329458505
821,1,1,0,0.752749085
822,1,2,1,0.4471246
825,1,1,1,0.317737937
