PPT,Condition,RT,Correct
1,2,0.5349030229999999,1
1,2,0.518168546,1
1,1,0.50157323,1
1,1,0.401415633,1
1,1,0.418086229,1
1,2,0.501472517,1
1,2,0.45148507,1
1,2,0.40144571,1
1,1,0.46815889299999996,1
1,2,0.45144885,1
1,2,0.45142062,1
1,2,0.46819719800000004,1
1,1,0.33455195800000004,1
1,1,0.26795487300000004,1
1,2,0.41802952299999996,1
1,2,0.401348279,1
1,1,0.6517136410000001,1
1,1,0.401401832,1
1,1,0.334652004,1
1,1,0.401410726,1
1,2,0.468166805,1
1,1,0.368040573,1
1,2,0.46808926100000003,1
1,2,0.418075922,1
1,1,0.38472693500000005,1
1,2,0.384598544,1
1,2,0.434824321,1
1,2,0.434795205,1
1,2,0.66822789,1
1,2,0.384672136,1
1,1,0.401377954,1
1,1,0.384713773,1
1,1,0.4014142,1
1,2,0.401410617,1
1,1,0.401436609,1
1,1,0.401463544,1
1,1,0.40126419199999996,1
1,1,0.351347445,1
1,2,0.401409167,1
1,2,0.367973121,1
1,1,0.368067561,1
1,1,0.401355069,1
1,2,0.401408188,1
1,1,0.38465627799999996,1
1,1,0.3680168,1
1,1,0.33468058500000003,1
1,2,0.40141203999999997,1
1,2,0.468104799,1
1,1,0.367995087,1
1,1,0.367908581,1
1,2,0.35132629600000004,0
1,1,0.501565753,1
1,1,0.384706082,1
1,1,0.401438695,1
1,1,0.418101069,1
1,2,0.651684367,1
1,1,0.48481735099999995,1
1,1,0.451502608,1
1,1,0.43482387,1
1,1,0.418142506,1
1,1,0.418081846,1
1,2,0.367914645,1
1,2,0.451516587,1
1,1,0.46821754099999996,1
1,1,0.41796970499999997,1
1,2,0.434747032,1
1,2,0.451397372,1
1,2,0.434829576,1
1,1,0.384616674,1
1,2,0.50154427,1
1,2,0.48486803500000003,1
1,2,0.401382185,1
1,2,0.45135239,1
1,2,0.41805580200000003,1
1,2,0.568308675,0
1,1,0.518194106,1
1,1,0.401445875,1
1,1,0.36802547700000005,1
1,2,0.43479145,1
1,1,0.40136033099999996,1
1,2,0.401365581,1
1,2,0.48485221100000003,1
1,1,0.401432994,1
1,1,0.401470788,1
1,1,0.33465212,1
1,1,0.418106134,1
1,1,0.368020274,1
1,1,0.33435612600000003,1
1,1,0.368050463,1
1,2,0.534921662,1
1,2,0.501482572,1
1,1,0.618323764,1
1,2,0.451398093,1
1,2,0.41810207200000005,1
1,2,0.484850351,1
1,2,0.785095226,1
1,2,0.46816956699999995,1
1,2,0.367968305,1
1,2,0.434858641,1
1,2,0.501522921,1
1,2,0.451427868,1
1,1,0.484772372,1
1,1,0.451443729,1
1,2,0.451475862,1
1,2,0.368056308,1
1,2,0.5348245819999999,1
1,1,0.401265982,1
1,2,0.46806016,1
1,1,0.38467717399999996,1
1,1,0.46808648199999997,1
1,2,0.368046995,1
1,1,0.35135352599999997,1
1,1,0.334630612,1
1,2,0.45150077299999997,1
1,2,0.48484504700000003,1
1,2,0.46809551499999996,1
1,1,0.45160733,1
1,2,0.6183686300000001,1
1,2,0.40145669500000003,1
1,2,0.418053432,1
1,1,0.451465619,1
1,2,0.451420443,1
1,1,0.468125805,1
1,2,0.484825354,1
1,1,0.351261738,1
1,1,0.38469982900000005,1
1,1,0.45143776100000005,1
1,2,0.417991246,1
1,1,0.434743571,1
1,1,0.35131140699999996,1
1,2,0.467892881,1
1,2,0.518208214,1
1,2,0.468155492,1
1,1,0.418067215,1
1,1,0.401183591,1
1,1,0.41803801900000004,1
1,2,0.434741899,1
1,1,0.401106091,1
1,1,0.468046586,0
1,1,0.551546293,1
1,1,0.401362108,1
1,2,0.36773070999999996,1
1,2,0.384715279,1
1,1,0.41807133599999996,1
1,2,0.468162969,1
1,2,0.468105644,1
1,1,0.685099812,1
1,1,0.384553302,1
1,2,0.451441355,1
1,2,0.368023956,1
1,1,0.38472211900000003,1
1,2,0.35139551399999996,1
1,1,0.384749773,1
1,2,0.334652591,1
1,1,0.55149008,1
1,2,0.45148586999999996,1
1,2,0.501515276,1
1,2,0.368017576,1
1,2,0.384801158,1
1,1,0.33467304200000003,1
1,1,0.384686423,1
1,2,0.36796562899999996,1
1,2,0.434860234,1
1,2,0.468109441,1
1,1,0.451420481,1
1,1,0.384730197,1
1,2,0.38465191800000004,1
1,2,0.368063778,1
1,1,0.41807295699999997,1
1,2,0.40115992699999997,1
1,1,0.368035708,1
1,2,0.384728639,1
1,1,0.384678061,1
1,2,0.434798363,1
1,1,0.434784309,1
1,2,0.45146052600000003,1
1,1,0.36806606399999997,1
1,1,0.368005302,1
1,1,0.317946141,1
1,2,0.418036433,1
1,1,0.33463744700000003,1
1,2,0.451454475,1
1,1,0.33461014,0
1,1,0.384727882,1
1,2,0.46818718000000004,1
1,2,0.367988769,1
1,1,0.368077365,1
1,1,0.518226142,1
1,2,0.38436618,1
1,1,0.368084946,1
1,2,0.41810094400000003,1
1,2,0.401468755,1
1,1,0.38475506200000004,1
1,2,0.401461484,1
1,2,0.38473773699999997,1
1,2,0.384652291,1
1,2,0.351338417,1
1,1,0.48481896799999996,1
1,1,0.384605232,1
1,2,0.317863041,1
1,2,0.36797008,1
1,2,0.401293731,1
1,1,0.451500473,1
1,2,0.468109964,1
1,1,0.368034994,1
1,1,0.45146430400000004,1
1,1,0.384654532,1
1,1,0.40145824900000004,1
1,1,0.33471981,1
1,1,0.384640814,1
