index,PPT,Condition,Correct,RT
181,1,1,1,0.388283429
182,1,2,1,0.576469753
183,1,1,1,0.435349079
185,1,1,1,0.376520163
189,1,1,1,0.447073263
191,1,1,1,0.529395219
193,1,2,1,0.576473034
194,1,1,1,0.541204294
195,1,2,1,0.541174977
196,1,1,1,0.423582814
197,1,2,1,0.635265909
199,1,2,1,0.517668684
200,1,2,1,0.929314422
201,1,2,1,0.611755946
202,1,1,1,0.835216815
204,1,1,1,0.470613492
207,1,2,1,0.44707237
208,1,1,1,0.400054997
209,1,1,1,0.400055499
210,1,1,1,0.470610504
214,1,1,1,0.400026703
215,1,1,1,0.470608036
217,1,2,1,0.44709652
218,1,1,1,0.376533412
219,1,2,1,0.494140559
220,1,1,1,0.411824048
222,1,2,1,0.529308891
224,1,1,1,0.38830615
225,1,2,1,0.388303562
226,1,2,1,0.458807736
227,1,2,1,0.353019519
228,1,1,1,0.494160363
229,1,1,1,0.353008452
231,1,1,1,0.482390843
232,1,1,1,0.388278329
233,1,1,1,0.305953876
234,1,1,1,0.28243579
235,1,1,1,0.447107826
236,1,2,1,0.6000072
237,1,1,1,0.435318476
238,1,2,1,0.529401774
239,1,2,1,0.305966363
240,1,2,1,0.470643469
242,1,2,1,0.482351689
243,1,2,1,0.50589334
244,1,2,1,0.329512161
245,1,1,1,0.40001404
246,1,2,1,0.658797533
247,1,2,1,0.435334533
248,1,2,0,0.400065932
249,1,2,0,0.305925215
250,1,2,1,0.505891469
251,1,1,1,0.576478393
252,1,2,1,0.494152398
253,1,2,1,0.611776447
256,1,1,1,0.447116897
257,1,2,0,0.329501575
259,1,1,1,0.329467143
260,1,2,1,0.494145494
261,1,1,1,0.458837867
262,1,2,1,0.564720497
263,1,2,1,0.470610485
266,1,1,1,0.505930787
267,1,2,1,0.494121191
268,1,2,1,0.353022181
269,1,2,1,0.564705434
270,1,1,1,0.505928443
271,1,1,1,0.447093449
273,1,2,1,0.623534953
274,1,1,1,0.458615997
278,1,2,1,0.47062337
279,1,1,1,0.388285731
283,1,2,1,0.376506022
287,1,2,1,0.447112015
288,1,1,1,0.682328308
295,1,2,1,0.494158946
296,1,2,1,0.576151851
297,1,2,1,0.552968298
298,1,1,1,0.411806499
299,1,1,1,0.505916909
302,1,1,1,0.341231143
303,1,2,1,0.552948468
304,1,2,1,0.494156313
306,1,2,0,0.400069449
307,1,1,1,0.470610485
308,1,1,1,0.447114921
309,1,2,1,0.411811385
310,1,1,1,0.435347879
311,1,2,1,0.435332711
312,1,1,1,0.388280939
314,1,2,1,0.517679593
315,1,2,1,0.447092054
318,1,2,1,0.647047853
319,1,1,0,0.529411827
322,1,2,1,0.435345168
323,1,2,1,0.576482844
324,1,1,1,0.494136258
325,1,1,1,0.647032775
326,1,1,1,0.423568039
328,1,1,1,0.411819072
329,1,1,1,0.647041684
331,1,2,1,0.482376244
332,1,2,1,0.529423467
336,1,1,1,0.388231233
338,1,2,1,0.529440541
339,1,1,1,0.588239363
341,1,1,1,0.423559167
342,1,2,1,0.505902857
344,1,2,1,0.564713102
346,1,1,1,0.529394821
347,1,2,1,0.988122672
348,1,2,1,0.705852117
349,1,2,1,0.458857536
350,1,2,1,0.517678149
351,1,1,1,0.388293078
352,1,2,1,0.600009274
353,1,2,1,0.435335535
354,1,1,1,0.447096554
355,1,1,1,0.411812619
356,1,2,1,0.294196539
358,1,2,0,0.317717775
361,1,1,1,0.458842551
362,1,1,1,0.423575048
365,1,1,0,0.529409656
366,1,1,1,0.423565737
367,1,2,1,0.588231316
369,1,1,1,0.447096141
370,1,1,1,0.45887138
371,1,2,1,0.447098834
372,1,1,1,0.435338175
373,1,1,1,0.388273972
377,1,1,1,0.423594015
379,1,2,1,0.317699865
380,1,1,1,0.258899498
381,1,1,0,0.258920778
382,1,2,1,0.411822728
383,1,2,1,0.458843091
384,1,2,1,0.447108749
385,1,1,1,0.388286883
386,1,1,1,0.541182375
388,1,1,1,0.317695526
391,1,2,1,0.435338587
392,1,2,0,0.494123126
394,1,1,1,0.458858957
396,1,1,1,0.435335482
397,1,1,1,0.458864495
399,1,1,1,0.494161904
400,1,2,1,0.517677917
401,1,1,1,0.4588748
402,1,1,1,0.529419222
404,1,2,1,0.353010511
406,1,2,1,0.552956793
407,1,2,1,0.447099475
408,1,2,1,0.494153006
409,1,2,1,0.599962913
410,1,1,1,0.353008471
411,1,1,1,0.352978768
412,1,1,1,0.388273109
413,1,1,1,0.494141197
415,1,2,1,0.470601477
416,1,2,1,0.482353564
417,1,2,1,0.270632253
418,1,2,1,0.470614865
420,1,2,1,0.435291503
422,1,2,1,0.729389294
423,1,1,1,0.400065845
424,1,2,1,0.494144077
425,1,1,1,0.352992564
428,1,2,1,0.494136506
430,1,1,1,0.376547456
432,1,2,1,0.611771009
433,1,1,1,0.388266505
434,1,2,1,0.4353297
436,1,1,1,0.411781344
438,1,1,1,0.341250598
439,1,2,1,0.552896708
440,1,2,1,0.400068928
441,1,2,1,0.4588634
442,1,2,1,0.341230723
443,1,1,1,0.341257101
444,1,2,1,0.458859849
445,1,1,1,0.447118292
446,1,2,1,0.517687681
448,1,2,1,0.552927847
449,1,2,1,0.62353879
451,1,2,0,0.376531473
452,1,2,1,0.447094383
453,1,1,1,0.447060805
454,1,1,1,0.329485964
455,1,2,1,0.494151179
456,1,1,1,0.599995916
457,1,1,1,0.317723197
459,1,1,1,0.364775734
460,1,1,1,0.400039686
461,1,2,1,0.494098736
463,1,1,1,0.400061049
