index,PPT,Condition,Correct,RT
1104,1,2,1,0.54195
1108,1,2,1,0.45955
1110,1,2,1,0.37726
1111,1,2,1,0.42414
1113,1,2,1,0.57722
1114,1,1,1,0.36553
1116,1,2,1,0.44777
1117,1,1,1,0.41262
1119,1,1,1,0.40073
1122,1,2,1,0.41256
1124,1,1,1,0.33027
1125,1,1,1,0.34197
1127,1,2,0,0.33027
1128,1,2,1,0.45958
1130,1,1,1,0.35389
1131,1,1,1,0.35391
1133,1,1,1,0.37732
1134,1,2,1,0.4478
1135,1,1,0,0.3655
1136,1,1,1,0.41237
1137,1,1,1,0.3068
1138,1,1,1,0.37724
1140,1,1,1,0.44792
1143,1,1,0,0.81253
1144,1,2,0,0.35373
1145,1,2,1,0.49505
1146,1,1,1,0.4243
1147,1,2,1,0.50581
1150,1,1,1,0.58888
1151,1,2,1,0.51851
1152,1,2,0,0.36555
1154,1,1,1,0.30676
1158,1,2,0,0.27139
1163,1,1,1,0.31785
1165,1,2,1,0.50666
1167,1,2,0,0.38909
1168,1,2,1,0.35368
1170,1,2,1,0.35373
1171,1,1,1,0.31843
1172,1,2,1,0.38893
1176,1,1,1,0.35385
1177,1,1,1,0.28318
1178,1,2,1,0.35282
1179,1,2,1,0.33028
1181,1,1,1,0.34126
1184,1,2,1,0.36554
1185,1,1,1,0.37683
1186,1,2,1,0.23607
1187,1,2,1,0.25941
1188,1,1,0,0.23625
1190,1,2,1,0.28325
1194,1,2,1,0.37729
1197,1,1,0,0.24789
1198,1,2,1,0.33015
1199,1,2,1,0.34198
1200,1,2,1,0.60067
1201,1,1,1,0.28317
1203,1,2,1,0.2596
1206,1,1,1,0.35321
1207,1,2,0,0.42428
1208,1,2,0,0.35384
1212,1,2,1,0.37742
1215,1,1,1,0.34201
1216,1,1,1,0.34202
1217,1,1,0,0.29482
1218,1,1,1,0.36543
1219,1,1,1,0.36563
1220,1,2,1,0.41256
1221,1,2,0,0.35372
1222,1,2,1,0.45946
1223,1,2,1,0.37734
1224,1,2,0,0.35384
1225,1,1,1,0.31846
1226,1,1,1,0.35396
1228,1,2,1,0.55371
1229,1,1,1,0.36535
1230,1,1,1,0.35372
1231,1,2,1,0.70663
1232,1,1,1,0.31847
1233,1,2,1,0.35399
1238,1,1,1,0.38905
1239,1,1,1,0.32994
1240,1,2,1,0.22456
1242,1,1,1,0.27137
1243,1,2,1,0.37735
1244,1,2,1,0.42435
1245,1,1,0,0.2479
1246,1,1,0,0.16562
1247,1,1,1,0.36536
1249,1,2,1,0.38902
1250,1,1,1,0.38914
1251,1,1,1,0.36536
1252,1,2,0,0.38896
1254,1,1,1,0.30682
1256,1,2,0,0.40086
1257,1,2,1,0.51844
1258,1,2,1,0.34184
1259,1,1,1,0.3655
1260,1,1,0,0.34219
1262,1,1,0,0.33029
1263,1,1,1,0.3303
1264,1,2,0,0.35384
1265,1,1,1,0.33033
1268,1,2,1,0.35382
1269,1,1,1,0.33011
1270,1,1,1,0.38893
1273,1,2,0,0.22425
1274,1,2,1,0.36551
1275,1,1,1,0.2949
1276,1,2,1,0.30663
1277,1,1,1,0.31848
1278,1,1,1,0.35365
1280,1,2,1,0.35374
1281,1,1,1,0.30685
1282,1,1,1,0.33043
1284,1,2,1,0.22366
1286,1,1,1,0.16557
1287,1,1,0,0.24795
1288,1,2,0,0.37737
1289,1,1,1,0.37734
1290,1,1,0,0.20086
1291,1,1,1,0.3304
1292,1,2,0,0.22427
1293,1,2,0,0.28306
1294,1,2,0,0.25978
1295,1,1,1,0.36552
1296,1,2,1,0.64803
1297,1,1,1,0.35391
1298,1,1,1,0.31845
1299,1,2,0,0.29486
1300,1,1,1,0.3304
1301,1,2,1,0.3297
1302,1,2,1,0.21253
1303,1,2,0,0.33003
1304,1,2,1,0.36539
1306,1,1,0,0.28324
1307,1,1,1,0.31854
1308,1,2,1,0.36482
1309,1,2,1,0.55361
1310,1,1,1,0.33022
1311,1,1,1,0.28327
1312,1,1,1,0.27132
1314,1,2,1,0.29428
1315,1,1,1,0.28327
1316,1,2,1,0.41262
1317,1,2,1,0.31837
1318,1,1,1,0.38905
1320,1,2,1,0.34209
1324,1,1,1,0.31852
1326,1,1,1,0.2478
1328,1,2,1,0.2833
1329,1,2,1,0.2479
1330,1,2,1,0.25981
1331,1,1,1,0.42404
1332,1,1,1,0.25972
1333,1,1,0,0.30677
1334,1,2,0,0.3183
1335,1,2,1,0.54197
1338,1,1,1,0.31833
1339,1,2,0,0.33029
1340,1,1,1,0.31816
1342,1,2,1,0.35386
1343,1,2,0,0.40088
1345,1,2,1,0.68309
1346,1,1,1,0.31866
1348,1,1,1,0.3303
1349,1,2,1,0.27152
1350,1,2,1,0.48307
1354,1,2,1,0.342
1355,1,2,1,0.35382
1356,1,2,1,0.31839
1357,1,1,1,0.248
1358,1,2,1,0.24794
1362,1,2,1,0.23626
1363,1,2,1,0.35391
1364,1,1,1,0.23559
1366,1,1,1,0.35368
1369,1,1,0,0.2362
1374,1,2,1,0.31818
1375,1,1,1,0.3655
1378,1,2,1,0.3303
1379,1,1,0,0.31848
1381,1,2,0,0.38905
1384,1,1,0,0.25971
1385,1,2,1,0.36563
1386,1,1,1,0.37709
1387,1,2,1,0.23621
1388,1,2,1,0.37739
1389,1,1,1,0.24797
1390,1,1,1,0.35382
1391,1,1,1,0.35388
1392,1,1,1,0.38872
1393,1,1,1,0.23605
1394,1,1,1,0.27142
1395,1,2,1,0.50667
1396,1,1,1,0.24789
1398,1,1,1,0.36543
1400,1,1,1,0.37736
1401,1,1,1,0.35363
1404,1,2,1,0.40082
1405,1,1,1,0.35376
1406,1,2,0,0.30699
1409,1,2,1,0.42438
1411,1,2,1,0.36547
1413,1,2,0,0.24793
1414,1,1,1,0.45966
1415,1,2,1,0.37657
1416,1,2,1,0.35392
1417,1,2,1,0.2597
1418,1,1,0,0.33011
1419,1,1,1,0.35381
1421,1,2,1,0.27142
1422,1,1,1,0.31856
1424,1,1,1,0.2237
1425,1,1,0,0.24782
1428,1,2,1,0.40107
1429,1,1,0,0.29484
1431,1,2,0,0.25987
1432,1,1,1,0.34196
1434,1,1,1,0.23603
1437,1,1,1,0.35382
1438,1,2,0,0.36553
1440,1,1,1,0.48294
1442,1,2,1,0.37734
1443,1,2,1,0.27142
1446,1,1,1,0.30677
