PPT,Condition,RT,Correct
1,1,0.401345749,1
1,2,0.384592815,1
1,2,0.351362331,0
1,1,0.451425928,1
1,2,0.418042909,1
1,1,0.401425104,1
1,1,0.317958731,1
1,2,0.418033186,1
1,2,0.518142726,1
1,2,0.58499297,1
1,1,0.368010371,1
1,1,0.368052289,1
1,1,0.384747385,1
1,1,0.384689934,1
1,1,0.334626628,1
1,1,0.401467909,1
1,2,0.484816809,1
1,1,0.351295548,1
1,2,0.384747727,1
1,2,0.451355096,1
1,2,0.568298765,1
1,2,0.568299347,1
1,2,0.384776981,1
1,2,0.368055013,1
1,1,0.418063218,1
1,2,0.484814591,1
1,1,0.351382419,1
1,1,0.351286173,1
1,2,0.418134601,1
1,1,0.334661876,1
1,2,0.368003327,1
1,2,0.35139717,0
1,2,0.418088879,1
1,1,0.434733935,1
1,2,0.4514409,1
1,1,0.43482784,1
1,2,0.351283107,0
1,2,0.801893454,0
1,1,0.46808724,1
1,2,0.401373216,1
1,1,0.418041741,1
1,1,0.401360423,1
1,1,0.651682225,1
1,1,0.418061956,1
1,1,0.401403772,1
1,1,0.368047743,1
1,2,0.41800441,1
1,1,0.384722179,1
1,1,0.384705401,1
1,1,0.401280009,1
1,1,0.534885662,1
1,2,0.418199986,1
1,1,0.351373285,1
1,2,0.501554388,1
1,2,0.40141803,1
1,2,0.501498586,1
1,1,0.418139522,1
1,1,0.351361485,1
1,2,0.3680028,1
1,2,0.434774407,0
1,2,0.434810252,1
1,1,0.434715873,1
1,2,0.484759046,1
1,1,0.484895551,1
1,1,0.401378169,1
1,1,0.334659326,1
1,1,0.401357936,1
1,1,0.384811559,1
1,1,0.367925089,1
1,1,0.384656571,1
1,2,0.368045726,1
1,1,0.350973471,1
1,2,0.451517565,1
1,2,0.434718258,1
1,1,0.584803235,1
1,2,0.417772823,1
1,2,0.401443425,1
1,2,0.368077484,0
1,2,0.518229609,0
1,2,0.41805465,1
1,2,0.518237283,1
1,1,0.384701319,1
1,2,0.468094811,1
1,2,0.384706718,1
1,2,0.501560773,1
1,1,0.401434438,1
1,1,0.418128708,1
1,2,0.38470218,1
1,1,0.401417058,1
1,2,0.384697277,1
1,1,0.367998374,1
1,2,0.501573233,1
1,1,0.351348093,1
1,1,0.384715607,1
1,2,0.384668831,0
1,2,0.351338187,1
1,2,0.701653311,1
1,1,0.384611936,1
1,1,0.351374549,1
1,1,0.418065635,1
1,1,0.368040618,1
1,2,0.534900836,1
1,1,0.434729076,1
1,2,0.484765949,1
1,1,0.351254408,1
1,1,0.351392102,1
1,2,0.401420349,1
1,2,0.468205886,1
1,2,0.484865488,1
1,1,0.334640008,1
1,2,0.468126594,1
1,2,0.418074787,1
1,2,0.367970459,0
1,2,0.568218619,1
1,1,0.368019517,1
1,2,0.384746597,1
1,2,0.484761701,1
1,1,0.351364379,1
1,1,0.367987078,1
1,2,0.451147542,1
1,1,0.451460973,1
1,2,0.351050959,1
1,2,0.568298158,1
1,1,0.484878784,1
1,1,0.484868172,1
1,1,0.401445213,1
1,2,0.451226681,1
1,1,0.468120058,1
1,1,0.367961498,1
1,1,0.33463836,1
1,1,0.418053077,1
1,2,0.368051026,0
1,1,0.401401549,1
1,2,0.367966709,0
1,1,0.501512868,1
1,1,0.434789633,1
1,2,0.434827023,1
1,1,0.56825672,0
1,2,0.384764976,1
1,1,0.418065835,1
1,2,0.434756222,1
1,2,0.518217634,1
1,2,0.434806916,1
1,2,0.384705414,1
1,2,0.468166231,1
1,1,0.434764611,1
1,1,0.518219628,1
1,2,0.601575932,1
1,1,0.434755884,1
1,1,0.518238628,1
1,1,0.351288306,1
1,1,0.534781189,1
1,1,0.334596787,1
1,1,0.384752441,1
1,2,0.434810341,1
1,2,0.36793723,1
1,1,0.33467831,1
1,2,0.368129877,1
1,1,0.301270449,1
1,2,0.451442649,1
1,1,0.334606539,1
1,2,0.434832968,1
1,2,0.418146515,1
1,1,0.334757942,1
1,2,0.351319708,0
1,2,0.40149339,1
1,2,0.48485602,1
1,2,0.368088126,1
1,2,0.40114501,1
1,1,0.368002331,1
1,1,0.40145953,1
1,1,0.367967253,1
1,2,0.401344438,1
1,1,0.384676366,1
1,1,0.401415731,1
1,1,0.334612957,1
1,1,0.40140664,1
1,2,0.418068239,1
1,2,0.568143582,1
1,2,0.40132791,1
1,2,0.368075391,1
1,2,0.484776882,1
1,2,0.301240564,0
1,2,0.418070824,1
1,2,0.401330562,1
1,1,0.351351225,1
1,2,0.351380135,1
1,2,0.40136373,1
1,1,0.401355456,1
1,1,0.434847493,1
1,1,0.334666756,1
1,2,0.685087227,1
1,2,0.451392316,1
1,1,0.384414201,1
1,1,0.434693622,1
1,1,0.351356,1
1,2,0.501515842,1
1,1,0.367973363,1
1,1,0.368034212,1
1,1,0.368040415,1
1,1,0.4013653,1
1,2,0.41800282,1
1,2,0.368023036,1
1,1,0.418108115,1
1,2,0.534791381,1
1,1,0.384676088,1
1,1,0.36798031,1
1,2,0.367994267,0
1,1,0.401525513,1
1,1,0.368002686,1
1,2,0.384776075,1
1,2,0.518244619,1
1,1,0.401467732,1
1,2,0.468157018,1
1,1,0.351364337,1
1,2,0.30126986,1
1,1,0.334633279,1
1,1,0.317959965,1
1,2,0.41807948,0
1,2,0.384752457,1
1,1,0.418163056,1
1,1,0.368067138,1
1,2,0.334636798,1
1,1,0.368091447,1
1,1,0.351312479,1
1,2,0.534926909,1
1,2,0.451438892,1
1,1,0.40140792,1
1,2,0.41807863,1
1,1,0.40138434,1
1,2,0.534890617,1
1,1,0.40144421,1
1,1,0.384744273,1
1,1,0.351379537,1
1,2,0.368049592,1
1,2,0.534939056,1
1,2,0.451357451,1
1,2,0.334622244,1
1,1,0.318000076,1
1,1,0.367989168,1
1,2,0.384784138,0
1,1,0.401425433,1
1,1,0.401433584,1
1,2,0.468066916,1
1,1,0.351319909,1
1,1,0.318021464,1
1,2,0.384696866,1
1,1,0.351318476,1
1,2,0.351361411,1
1,2,0.368102114,0
1,2,0.418134273,1
1,2,0.384726679,1
1,2,0.951991757,1
1,2,0.534856482,1
1,2,0.468235379,1
1,1,0.451139625,1
1,2,0.334324803,1
1,1,0.418040213,1
1,2,0.368060852,1
1,1,0.368010671,1
1,1,0.384765698,1
1,1,0.334637097,1
1,2,0.384745684,1
1,1,0.351320029,1
1,1,0.401428532,1
1,1,0.351290487,1
1,2,0.50150738,1
1,1,0.351371887,1
1,1,0.368027214,1
1,2,0.351391768,1
1,1,0.351346877,1
1,2,0.484897169,1
1,2,0.468123864,1
1,1,0.384765406,1
1,2,0.451400117,1
1,1,0.334617232,1
1,2,0.451411177,1
1,2,0.451454528,1
1,2,0.418066111,0
1,2,0.36799225,1
1,2,0.48477093,1
1,1,0.351251346,1
1,1,0.318025828,1
1,1,0.434757574,1
1,1,0.534894588,1
1,1,0.468189404,1
1,1,0.368027531,1
1,1,0.334609848,1
1,2,0.284624555,1
1,1,0.401040079,1
1,2,0.468178926,1
1,2,0.501524951,1
1,2,0.401457176,1
1,1,0.40138878,0
1,2,0.501515246,1
1,1,0.434784207,1
1,1,0.46808236,1
1,2,0.56822785,1
1,1,0.38477482,1
1,2,0.317643168,1
1,1,0.484884228,1
1,1,0.40144597,1
1,2,0.334736366,1
1,1,0.368039367,1
1,2,0.384832251,1
1,2,0.434832712,1
1,1,0.368078039,1
1,2,0.367980258,1
1,2,0.368072909,0
1,1,0.418122798,1
1,2,0.551535453,1
1,2,0.367956077,1
1,1,0.484820669,1
1,2,0.434804534,1
1,1,0.367973585,1
1,1,0.651621035,1
1,2,0.451469048,1
1,2,0.36802018,1
1,1,0.351352974,1
1,1,0.334603342,1
1,2,0.434726756,0
1,1,0.434720428,1
1,2,0.468105758,1
1,2,0.334671151,1
1,1,0.468058819,1
1,1,0.368061376,1
1,1,0.284602656,1
1,2,0.317948167,1
1,1,0.301368236,0
1,2,0.401347699,1
1,2,0.468132284,1
1,2,0.334564683,1
1,1,0.301331435,1
1,2,0.334677,1
1,1,0.434726019,1
1,2,0.451470692,1
1,1,0.568190993,1
1,2,0.568352491,1
1,2,0.35133479,0
1,1,0.434762772,1
1,2,0.351470683,1
1,1,0.384731973,0
1,2,0.384799394,1
